trial,reorderBuffer,l1i,l1d,l2,thread1Cycles,thread2Cycles,thread1,thread2
0,16,16384,65536,2097152,542946,1058737,cat smt.cfg,cat smt.cfg
1,16,16384,65536,2097152,542911,1058702,cat smt.cfg,cat smt.cfg
2,16,16384,65536,2097152,542903,1058653,cat smt.cfg,cat smt.cfg
0,16,32768,65536,2097152,542444,1057706,cat smt.cfg,cat smt.cfg
1,16,32768,65536,2097152,542444,1057706,cat smt.cfg,cat smt.cfg
2,16,32768,65536,2097152,542460,1057679,cat smt.cfg,cat smt.cfg
0,16,65536,65536,2097152,542210,1057312,cat smt.cfg,cat smt.cfg
1,16,65536,65536,2097152,542213,1057268,cat smt.cfg,cat smt.cfg
2,16,65536,65536,2097152,542234,1057336,cat smt.cfg,cat smt.cfg 
0,24,16384,65536,2097152,494234,956807,cat smt.cfg,cat smt.cfg
1,24,16384,65536,2097152,494366,956874,cat smt.cfg,cat smt.cfg
2,24,16384,65536,2097152,494366,956874,cat smt.cfg,cat smt.cfg
0,24,32768,65536,2097152,493668,955601,cat smt.cfg,cat smt.cfg
1,24,32768,65536,2097152,493668,955581,cat smt.cfg,cat smt.cfg
2,24,32768,65536,2097152,493668,955601,cat smt.cfg,cat smt.cfg
0,24,65536,65536,2097152,493549,955214,cat smt.cfg,cat smt.cfg
1,24,65536,65536,2097152,493549,955214,cat smt.cfg,cat smt.cfg
2,24,65536,65536,2097152,493549,955214,cat smt.cfg,cat smt.cfg
0,32,16384,65536,2097152,470335,905944,cat smt.cfg,cat smt.cfg
1,32,16384,65536,2097152,470226,905965,cat smt.cfg,cat smt.cfg
2,32,16384,65536,2097152,470251,905990,cat smt.cfg,cat smt.cfg
0,32,32768,65536,2097152,469605,904730,cat smt.cfg,cat smt.cfg
1,32,32768,65536,2097152,469605,904730,cat smt.cfg,cat smt.cfg
2,32,32768,65536,2097152,469605,904730,cat smt.cfg,cat smt.cfg
0,32,65536,65536,2097152,469335,904126,cat smt.cfg,cat smt.cfg
1,32,65536,65536,2097152,469451,904124,cat smt.cfg,cat smt.cfg
2,32,65536,65536,2097152,469335,904126,cat smt.cfg,cat smt.cfg
