trial,reorderBuffer,l1i,l1d,l2,thread1Cycles,thread2Cycles,thread1,thread2
0,16,16384,65536,2097152,672741,963883,cat smt.cfg,cat smt.cfg
1,16,16384,65536,2097152,664943,965506,cat smt.cfg,cat smt.cfg
2,16,16384,65536,2097152,672856,965813,cat smt.cfg,cat smt.cfg
0,16,32768,65536,2097152,667401,963051,cat smt.cfg,cat smt.cfg
1,16,32768,65536,2097152,669870,962873,cat smt.cfg,cat smt.cfg
2,16,32768,65536,2097152,667430,963051,cat smt.cfg,cat smt.cfg
0,16,65536,65536,2097152,668410,962556,cat smt.cfg,cat smt.cfg
1,16,65536,65536,2097152,675583,961133,cat smt.cfg,cat smt.cfg
2,16,65536,65536,2097152,668410,962556,cat smt.cfg,cat smt.cfg
0,24,16384,65536,2097152,662316,891270,cat smt.cfg,cat smt.cfg
1,24,16384,65536,2097152,662316,891270,cat smt.cfg,cat smt.cfg
2,24,16384,65536,2097152,662316,891270,cat smt.cfg,cat smt.cfg
0,24,32768,65536,2097152,667221,888876,cat smt.cfg,cat smt.cfg
1,24,32768,65536,2097152,667221,888907,cat smt.cfg,cat smt.cfg
2,24,32768,65536,2097152,665735,890839,cat smt.cfg,cat smt.cfg
0,24,65536,65536,2097152,665526,888709,cat smt.cfg,cat smt.cfg
1,24,65536,65536,2097152,674195,888831,cat smt.cfg,cat smt.cfg
2,24,65536,65536,2097152,674305,888831,cat smt.cfg,cat smt.cfg 
0,32,16384,65536,2097152,661199,869601,cat smt.cfg,cat smt.cfg
1,32,16384,65536,2097152,661228,869601,cat smt.cfg,cat smt.cfg
2,32,16384,65536,2097152,661228,869601,cat smt.cfg,cat smt.cfg
0,32,32768,65536,2097152,665866,866798,cat smt.cfg,cat smt.cfg
1,32,32768,65536,2097152,664879,868499,cat smt.cfg,cat smt.cfg
2,32,32768,65536,2097152,673644,866733,cat smt.cfg,cat smt.cfg
0,32,65536,65536,2097152,673816,866676,cat smt.cfg,cat smt.cfg
1,32,65536,65536,2097152,664303,866445,cat smt.cfg,cat smt.cfg
2,32,65536,65536,2097152,664303,866445,cat smt.cfg,cat smt.cfg
